sub_icb_location_code,sub_icb_location_ons_code,sub_icb_location_name,icb_ons_code,region_ons_code,appointment_date,actual_duration,count_of_appointments
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,20-Dec-21,16-20 Minutes,758
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,20-Dec-21,11-15 Minutes,1342
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,20-Dec-21,31-60 Minutes,368
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,21-Dec-21,6-10 Minutes,1725
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,21-Dec-21,31-60 Minutes,367
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,21-Dec-21,Unknown / Data Quality,1556
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,21-Dec-21,16-20 Minutes,718
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,21-Dec-21,1-5 Minutes,1435
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,21-Dec-21,11-15 Minutes,1154
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,21-Dec-21,21-30 Minutes,675
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,22-Dec-21,21-30 Minutes,561
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,22-Dec-21,6-10 Minutes,1571
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,22-Dec-21,1-5 Minutes,1355
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,22-Dec-21,31-60 Minutes,314
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,22-Dec-21,Unknown / Data Quality,1165
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,22-Dec-21,11-15 Minutes,1052
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,22-Dec-21,16-20 Minutes,628
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,23-Dec-21,6-10 Minutes,1668
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,23-Dec-21,31-60 Minutes,345
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,23-Dec-21,Unknown / Data Quality,1078
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,23-Dec-21,16-20 Minutes,626
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,23-Dec-21,11-15 Minutes,1011
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,23-Dec-21,21-30 Minutes,523
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,23-Dec-21,1-5 Minutes,1311
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,24-Dec-21,6-10 Minutes,981
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,24-Dec-21,21-30 Minutes,297
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,24-Dec-21,31-60 Minutes,198
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,24-Dec-21,Unknown / Data Quality,758
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,24-Dec-21,11-15 Minutes,584
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,24-Dec-21,1-5 Minutes,953
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,24-Dec-21,16-20 Minutes,342
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,25-Dec-21,Unknown / Data Quality,44
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,29-Dec-21,Unknown / Data Quality,1104
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,29-Dec-21,31-60 Minutes,273
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,29-Dec-21,6-10 Minutes,1764
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,29-Dec-21,11-15 Minutes,1068
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,29-Dec-21,1-5 Minutes,1559
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,29-Dec-21,16-20 Minutes,588
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,29-Dec-21,21-30 Minutes,496
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,30-Dec-21,16-20 Minutes,586
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,30-Dec-21,31-60 Minutes,288
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,30-Dec-21,6-10 Minutes,1488
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,30-Dec-21,Unknown / Data Quality,1185
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,30-Dec-21,11-15 Minutes,1002
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,30-Dec-21,21-30 Minutes,514
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,30-Dec-21,1-5 Minutes,1141
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,31-Dec-21,Unknown / Data Quality,864
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,31-Dec-21,21-30 Minutes,427
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,31-Dec-21,6-10 Minutes,1214
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,31-Dec-21,16-20 Minutes,469
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,31-Dec-21,31-60 Minutes,240
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,31-Dec-21,11-15 Minutes,802
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,31-Dec-21,1-5 Minutes,983
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,03-Jan-22,Unknown / Data Quality,1
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,04-Jan-22,31-60 Minutes,410
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,04-Jan-22,Unknown / Data Quality,1219
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,04-Jan-22,6-10 Minutes,1855
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,04-Jan-22,21-30 Minutes,686
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,04-Jan-22,16-20 Minutes,789
